d1,d2,d3,l
68,146,104,0
67,149,107,0
71,150,125,0
70,150,126,0
70,147,128,0
68,148,105,0
69,157,101,0
71,146,129,0
67,145,104,0
70,164,107,0
71,151,124,0
69,146,129,0
68,132,109,0
71,154,137,0
71,140,138,0
69,156,121,0
71,136,135,0
68,153,106,0
69,160,123,0
69,147,124,0
70,151,104,0
69,149,108,0
67,154,103,0
70,163,130,0
67,151,104,0
67,151,127,0
69,168,120,0
69,169,119,0
70,146,110,0
68,144,102,0
68,153,102,0
68,150,99,0
68,154,99,0
69,160,97,0
70,153,127,0
71,156,126,0
69,158,124,0
68,145,104,0
69,162,121,0
70,134,130,0
68,154,103,0
69,160,126,0
71,149,126,0
67,143,105,0
70,149,125,0
69,158,121,0
68,147,107,0
68,154,103,0
69,150,131,0
71,146,129,0
70,147,126,0
69,166,98,0
70,165,96,0
70,137,124,0
70,169,117,0
68,148,99,0
70,149,126,0
68,164,123,0
69,157,119,0
67,145,104,0
68,127,122,0
68,143,98,0
69,162,98,0
69,169,118,0
69,155,122,0
70,150,126,0
68,153,95,0
68,141,103,0
68,143,105,0
70,142,131,0
70,147,133,0
70,131,129,0
68,145,103,0
67,151,105,0
69,154,102,0
69,150,126,0
66,147,109,0
69,156,102,0
69,155,127,0
70,167,119,0
70,163,102,0
69,148,131,0
69,153,125,0
68,157,99,0
70,153,123,0
68,143,98,0
71,165,128,0
71,137,132,0
70,139,135,0
67,136,103,0
69,156,100,0
69,147,99,0
69,149,126,0
71,159,128,0
69,162,122,0
71,138,133,0
69,159,99,0
67,149,107,0
67,154,104,0
69,145,102,0
70,158,123,0
69,145,102,0
69,149,127,0
69,156,121,0
68,153,107,0
70,151,130,0
68,143,101,0
70,145,126,0
70,166,119,0
67,154,104,0
70,135,128,0
69,149,127,0
70,137,124,0
68,143,105,0
68,143,105,0
70,142,133,0
69,160,125,0
70,162,122,0
69,145,122,0
69,159,99,0
70,144,131,0
68,148,100,0
71,140,133,0
71,137,133,0
69,154,103,0
67,145,104,0
67,149,106,0
69,169,119,0
70,130,124,0
68,162,96,0
68,154,100,0
69,154,101,0
68,151,105,0
68,156,100,0
70,123,126,0
69,141,103,0
70,140,124,0
68,164,106,0
70,156,101,0
68,148,102,0
69,146,130,0
69,135,124,0
69,156,126,0
67,141,107,0
69,162,100,0
68,160,98,0
69,159,99,0
69,152,124,0
70,149,126,0
69,164,120,0
69,157,126,0
70,155,127,0
68,143,104,0
69,149,128,0
68,145,103,0
66,146,108,0
68,153,106,0
70,164,120,0
71,138,131,0
69,156,100,0
70,164,119,0
69,162,122,0
69,150,126,0
70,147,125,0
68,162,97,0
68,147,99,0
69,156,95,0
69,151,125,0
68,149,108,0
68,162,96,0
67,148,98,0
69,160,123,0
68,147,106,0
71,141,133,0
69,153,102,0
70,143,128,0
68,162,105,0
67,154,102,0
69,164,132,0
70,150,126,0
69,129,125,0
70,138,124,0
70,166,118,0
68,147,109,0
69,172,106,0
69,150,106,0
70,134,129,0
69,145,100,0
69,145,130,0
69,128,126,0
69,141,110,0
69,164,121,0
70,161,100,0
67,45,108,0
70,156,121,0
67,149,95,0
68,169,93,0
69,160,121,0
67,163,97,0
67,153,107,0
69,146,101,0
71,146,133,0
71,149,126,0
68,154,102,0
68,151,103,0
70,162,123,0
69,180,113,0
71,162,133,0
70,147,127,0
69,154,120,0
69,166,119,0
69,150,126,0
70,153,120,0
69,155,123,0
69,166,121,0
69,155,121,0
87,14,168,1
103,10,209,1
90,9,165,1
80,9,169,1
50,8,170,1
30,3,166,1
83,6,164,1
103,12,218,1
80,9,165,1
106,18,213,1
66,8,157,1
83,6,166,1
83,6,165,1
83,7,148,1
110,21,214,1
80,10,159,1
83,9,169,1
98,14,199,1
95,15,209,1
80,9,165,1
96,13,201,1
96,8,168,1
96,13,200,1
83,6,167,1
83,6,166,1
90,9,168,1
55,8,167,1
98,14,199,1
90,9,165,1
98,14,202,1
103,20,205,1
111,10,204,1
95,15,203,1
