d1,d2,d3,l
73,151,93,0
77,141,125,0
77,121,144,0
78,138,129,0
78,139,130,0
74,158,103,0
73,165,94,0
75,165,94,0
76,168,85,0
76,138,131,0
75,131,140,0
73,145,100,0
78,137,131,0
78,128,137,0
73,164,95,0
77,126,110,0
77,125,108,0
76,136,133,0
75,164,94,0
73,179,83,0
74,160,94,0
76,126,113,0
72,161,95,0
74,179,87,0
77,118,118,0
78,101,157,0
76,134,135,0
77,117,151,0
77,133,133,0
74,166,86,0
77,158,106,0
77,121,114,0
77,144,125,0
76,133,126,0
73,151,94,0
77,139,127,0
77,118,106,0
76,160,89,0
74,158,104,0
75,135,131,0
75,143,105,0
74,167,91,0
77,144,124,0
73,165,91,0
77,134,104,0
75,165,94,0
78,141,129,0
75,155,98,0
76,137,132,0
74,139,101,0
78,108,153,0
74,159,90,0
74,168,83,0
73,175,87,0
73,160,94,0
78,121,145,0
80,111,145,0
77,123,135,0
76,144,126,0
77,139,129,0
77,128,136,0
78,121,146,0
78,128,138,0
73,151,94,0
78,138,131,0
76,138,131,0
78,136,129,0
77,143,123,0
76,128,138,0
77,141,128,0
74,151,102,0
75,164,92,0
74,158,102,0
75,145,123,0
77,121,146,0
78,137,131,0
77,138,130,0
73,157,106,0
73,149,102,0
73,140,110,0
74,165,95,0
73,165,92,0
75,129,107,0
78,120,136,0
78,127,130,0
78,132,133,0
73,164,95,0
75,128,138,0
74,175,89,0
74,145,93,0
78,121,145,0
72,162,111,0
78,135,130,0
74,145,105,0
77,121,114,0
79,121,113,0
74,126,109,0
74,146,105,0
74,167,91,0
74,164,99,0
78,131,128,0
76,137,132,0
80,100,151,0
76,130,139,0
77,137,131,0
77,132,133,0
74,169,95,0
72,165,94,0
77,113,136,0
75,160,94,0
77,140,91,0
74,160,95,0
74,165,94,0
77,121,104,0
77,136,133,0
74,176,95,0
76,126,108,0
73,146,106,0
78,137,131,0
72,156,98,0
74,171,88,0
76,137,132,0
75,157,92,0
73,154,98,0
76,165,92,0
74,154,102,0
73,151,102,0
74,155,94,0
78,133,132,0
77,148,122,0
74,175,86,0
77,126,103,0
73,155,93,0
78,128,136,0
77,141,127,0
76,127,144,0
73,151,93,0
77,128,136,0
75,126,143,0
75,173,96,0
72,158,102,0
74,165,91,0
74,168,95,0
77,123,94,0
78,127,143,0
78,137,136,0
77,138,131,0
80,95,158,0
73,155,95,0
76,169,97,0
74,160,94,0
77,137,132,0
74,174,94,0
76,138,132,0
78,128,138,0
73,150,91,0
73,148,97,0
72,145,109,0
78,129,138,0
77,141,125,0
77,128,137,0
73,146,105,0
77,119,109,0
74,155,93,0
78,126,140,0
78,139,128,0
77,144,125,0
77,141,126,0
73,145,99,0
76,129,140,0
72,144,107,0
76,141,127,0
78,126,139,0
77,139,129,0
77,122,109,0
77,133,136,0
74,152,89,0
77,140,120,0
73,155,97,0
73,159,89,0
73,151,104,0
78,137,130,0
73,161,88,0
74,157,91,0
73,140,112,0
74,165,87,0
77,144,122,0
76,133,134,0
78,138,130,0
77,136,129,0
76,139,130,0
74,136,108,0
78,118,138,0
74,160,94,0
77,133,133,0
77,134,131,0
74,131,106,0
75,162,102,0
77,141,125,0
73,139,102,0
77,113,136,0
76,136,111,0
74,129,101,0
74,131,103,0
78,137,132,0
79,129,109,0
103,10,175,1
113,18,174,1
116,21,174,1
110,37,236,1
111,15,167,1
112,26,220,1
112,30,214,1
116,22,177,1
112,29,218,1
114,38,221,1
111,28,212,1
111,30,215,1
116,33,227,1
116,20,179,1
111,25,212,1
111,27,216,1
114,37,223,1
116,22,166,1
107,31,247,1
114,28,225,1
116,21,179,1
112,30,216,1
96,8,157,1
109,12,166,1
114,28,224,1
109,12,177,1
110,30,255,1
111,32,217,1
111,31,216,1
114,33,220,1
125,9,164,1
119,25,228,1
112,29,210,1
112,30,214,1
114,28,217,1
111,28,239,1
112,26,209,1
116,21,179,1
120,8,170,1
116,22,176,1
112,31,213,1
119,26,206,1
112,41,236,1
109,28,220,1
112,26,215,1
110,31,216,1
122,20,182,1
111,24,191,1
116,36,236,1
109,13,155,1
109,38,229,1
125,9,162,1
120,12,168,1
109,12,164,1
120,3,168,1
116,25,223,1
