d1,d2,d3,l
72,186,106,0
77,155,135,0
74,160,157,0
78,160,130,0
78,151,124,0
76,165,127,0
74,182,94,0
75,172,110,0
74,155,146,0
75,162,143,0
76,168,112,0
76,164,137,0
77,158,125,0
76,154,150,0
76,154,150,0
74,165,128,0
73,193,91,0
76,158,148,0
75,182,98,0
75,163,127,0
75,163,128,0
76,165,110,0
72,185,106,0
74,162,134,0
74,156,143,0
76,161,138,0
78,159,136,0
74,163,117,0
74,163,139,0
77,149,128,0
74,147,179,0
77,166,134,0
78,161,136,0
71,169,115,0
72,166,130,0
73,158,145,0
74,165,107,0
71,169,123,0
76,156,137,0
75,159,123,0
74,162,120,0
73,160,137,0
74,173,106,0
73,169,118,0
74,163,138,0
78,161,125,0
75,159,157,0
78,153,136,0
76,166,117,0
75,178,104,0
70,190,79,0
69,203,69,0
72,186,105,0
77,159,119,0
75,179,85,0
73,155,152,0
73,171,124,0
73,194,81,0
77,148,164,0
74,159,156,0
75,158,138,0
76,152,154,0
73,156,154,0
77,157,140,0
74,148,161,0
75,162,137,0
71,166,117,0
75,179,108,0
75,158,130,0
75,151,155,0
71,172,110,0
74,155,164,0
78,160,128,0
78,161,136,0
73,172,108,0
76,168,108,0
76,185,87,0
72,174,118,0
74,164,154,0
75,190,82,0
76,141,186,0
76,155,159,0
74,187,97,0
78,161,135,0
76,150,162,0
71,193,90,0
76,164,131,0
74,166,115,0
77,159,117,0
75,148,160,0
76,164,132,0
75,157,143,0
75,164,138,0
74,146,164,0
77,161,133,0
74,201,80,0
77,153,150,0
74,191,100,0
76,192,89,0
70,193,82,0
75,183,84,0
75,167,126,0
76,164,120,0
76,181,109,0
78,169,110,0
76,153,144,0
73,178,109,0
75,155,124,0
73,153,156,0
76,157,119,0
78,154,141,0
74,150,159,0
77,152,124,0
76,151,165,0
78,176,105,0
76,183,103,0
76,171,133,0
74,155,164,0
76,159,146,0
73,153,155,0
74,153,163,0
71,198,80,0
73,173,123,0
78,154,149,0
71,179,108,0
75,172,106,0
75,173,122,0
77,193,78,0
75,164,138,0
72,155,125,0
71,205,80,0
73,176,106,0
76,169,129,0
77,176,119,0
74,162,131,0
72,184,101,0
75,189,100,0
78,161,125,0
76,145,173,0
70,160,119,0
72,188,108,0
74,198,90,0
73,163,117,0
76,168,110,0
74,151,154,0
75,151,145,0
77,167,123,0
76,178,86,0
76,145,159,0
76,141,205,0
78,136,169,0
74,151,155,0
78,135,179,0
78,135,181,0
73,161,139,0
72,181,111,0
74,158,118,0
72,200,70,0
78,149,153,0
78,143,159,0
69,205,79,0
70,194,79,0
78,163,115,0
71,186,107,0
76,169,127,0
76,151,155,0
78,169,117,0
75,145,160,0
74,152,166,0
78,149,161,0
109,25,203,1
110,34,195,1
114,43,185,1
87,15,151,1
106,29,255,1
109,29,235,1
114,40,240,1
108,43,244,1
110,32,142,1
114,32,193,1
98,17,160,1
114,29,214,1
109,27,227,1
112,39,248,1
113,52,255,1
66,8,151,1
107,24,216,1
104,26,255,1
116,23,255,1
112,56,255,1
114,28,225,1
116,17,246,1
112,24,244,1
115,49,220,1
109,26,230,1
116,21,236,1
116,40,242,1
114,25,246,1
110,43,255,1
114,47,191,1
110,38,255,1
103,25,255,1
113,52,255,1
116,32,214,1
112,52,182,1
110,36,237,1
115,45,236,1
114,46,255,1
115,50,255,1
112,28,222,1
111,35,198,1
110,30,214,1
112,25,228,1
115,44,255,1
110,35,255,1
112,39,255,1
106,31,209,1
116,35,255,1
111,36,245,1
114,46,188,1
117,49,243,1
115,45,255,1
109,33,186,1
109,36,198,1
111,29,230,1
105,24,196,1
107,18,255,1
113,52,255,1
114,57,255,1
111,24,191,1
112,33,255,1
111,28,220,1
112,31,203,1
98,18,155,1
111,27,255,1
95,17,167,1
116,38,230,1
111,49,193,1
113,50,255,1
109,28,220,1
112,27,244,1
115,40,252,1
115,50,235,1
115,47,209,1
119,41,255,1
111,35,209,1
116,22,255,1
111,30,211,1
110,27,170,1
114,43,196,1
110,31,238,1
109,29,249,1
96,9,149,1
110,51,220,1
112,60,226,1
90,10,255,1
105,28,190,1
116,31,236,1
117,42,242,1
109,12,213,1
96,7,181,1
117,41,242,1
110,41,249,1
114,32,246,1
112,40,173,1
114,37,181,1
90,10,255,1
116,20,255,1
116,35,255,1
117,23,255,1
90,1,255,1
90,12,255,1
113,58,255,1
112,41,172,1
101,28,255,1
114,36,230,1
106,26,255,1
115,46,255,1
96,7,176,1
112,37,174,1
111,27,255,1
114,28,255,1
111,24,214,1
111,27,255,1
110,33,195,1
103,11,192,1
114,37,244,1
113,48,255,1
112,26,250,1
50,2,255,1
111,30,225,1
90,10,255,1
110,27,244,1
115,57,234,1
107,22,255,1
90,1,255,1
111,47,176,1
114,38,223,1
110,28,238,1
107,19,255,1
109,30,197,1
111,23,255,1
110,33,206,1
113,38,255,1
112,31,236,1
109,12,175,1
116,53,247,1
113,20,205,1
115,54,238,1
117,46,251,1
112,35,160,1
114,30,255,1
114,38,235,1
115,41,232,1
116,40,252,1
116,31,255,1
113,46,255,1
116,18,211,1
95,18,169,1
111,28,244,1
112,28,222,1
113,40,240,1
113,45,255,1
114,45,188,1
109,38,211,1
114,59,253,1
110,39,255,1
111,32,206,1
108,45,193,1
111,24,193,1
111,28,208,1
107,33,235,1
83,7,152,1
119,43,249,1
114,35,212,1
90,8,255,1
103,22,255,1
116,33,237,1
116,40,255,1
109,29,255,1
112,52,199,1
27,248,183,2
26,240,171,2
29,227,255,2
26,240,170,2
26,225,197,2
27,252,148,2
26,224,197,2
26,237,161,2
25,222,190,2
26,229,197,2
26,233,218,2
26,253,154,2
26,246,170,2
26,241,198,2
27,248,179,2
26,230,232,2
25,222,246,2
26,222,195,2
25,219,232,2
27,255,147,2
26,226,201,2
28,230,255,2
27,219,221,2
26,249,169,2
26,241,179,2
26,228,220,2
26,224,237,2
26,236,209,2
26,249,138,2
26,225,187,2
25,222,199,2
26,235,177,2
26,228,198,2
26,232,178,2
26,221,245,2
27,237,195,2
26,225,213,2
26,244,211,2
26,231,217,2
27,255,143,2
26,227,255,2
27,243,151,2
27,250,146,2
26,234,228,2
26,222,250,2
26,224,168,2
26,250,202,2
27,229,215,2
26,220,232,2
26,223,255,2
26,219,255,2
27,211,255,2
26,246,164,2
26,250,150,2
26,216,226,2
27,233,152,2
26,225,171,2
26,230,215,2
26,228,227,2
26,213,220,2
29,211,255,2
26,217,231,2
25,218,243,2
26,247,161,2
27,231,161,2
27,246,147,2
27,246,166,2
27,255,131,2
26,219,226,2
26,220,245,2
27,224,214,2
26,224,231,2
26,239,186,2
27,243,146,2
26,244,160,2
25,226,249,2
26,229,187,2
26,216,205,2
26,246,169,2
25,253,145,2
26,248,149,2
27,242,137,2
25,226,226,2
25,226,221,2
26,224,224,2
26,223,202,2
26,240,209,2
27,246,163,2
27,232,217,2
26,219,195,2
27,244,158,2
27,240,166,2
26,234,221,2
27,251,139,2
26,225,236,2
26,230,164,2
26,233,183,2
25,250,153,2
27,243,153,2
27,237,153,2
25,227,190,2
26,225,243,2
26,231,206,2
26,239,159,2
26,223,205,2
27,231,255,2
27,229,231,2
27,240,159,2
26,252,150,2
27,221,213,2
26,222,240,2
26,224,241,2
27,232,220,2
26,223,204,2
27,239,140,2
26,222,224,2
26,233,172,2
26,222,249,2
25,231,204,2
27,241,181,2
26,255,130,2
27,225,209,2
26,237,238,2
26,252,167,2
26,212,255,2
26,228,231,2
28,225,255,2
26,243,154,2
27,236,160,2
26,223,211,2
26,229,189,2
26,236,169,2
27,248,145,2
27,226,202,2
26,233,234,2
27,237,208,2
27,238,232,2
26,234,226,2
25,214,238,2
25,215,217,2
26,218,199,2
26,240,138,2
27,248,145,2
27,225,161,2
25,219,249,2
26,233,186,2
25,239,194,2
28,213,255,2
27,234,215,2
27,251,140,2
72,166,92,2
27,229,216,2
26,225,233,2
26,246,169,2
25,226,210,2
26,225,160,2
26,209,248,2
27,244,201,2
26,228,186,2
26,238,149,2
26,248,139,2
25,227,229,2
26,243,147,2
27,231,195,2
25,233,165,2
26,231,209,2
26,225,231,2
26,246,170,2
25,215,226,2
26,236,171,2
26,228,190,2
26,238,200,2
1,204,131,3
1,203,162,3
2,223,118,3
179,195,151,3
1,203,149,3
179,190,160,3
0,195,145,3
178,187,153,3
1,204,157,3
0,195,157,3
1,218,103,3
2,228,103,3
1,210,129,3
1,199,157,3
1,185,195,3
0,199,147,3
1,195,168,3
2,210,158,3
1,216,127,3
0,193,151,3
0,186,187,3
3,214,143,3
178,196,151,3
179,192,171,3
0,198,159,3
1,203,152,3
178,179,228,3
1,186,191,3
179,189,173,3
0,182,183,3
1,204,148,3
0,185,183,3
0,176,230,3
0,207,126,3
179,179,195,3
1,207,160,3
1,211,109,3
179,198,142,3
0,207,136,3
1,207,138,3
1,185,189,3
1,213,112,3
2,223,119,3
0,191,179,3
1,218,116,3
1,202,120,3
0,179,207,3
1,216,116,3
0,186,182,3
0,178,199,3
178,180,195,3
1,213,130,3
0,183,185,3
179,185,181,3
0,186,181,3
0,186,187,3
0,188,175,3
0,188,172,3
2,201,160,3
1,218,109,3
179,207,123,3
0,202,126,3
178,190,146,3
2,225,115,3
179,202,147,3
1,191,176,3
179,184,181,3
0,183,190,3
179,191,174,3
1,210,129,3
2,227,109,3
1,205,152,3
0,211,134,3
179,192,135,3
0,202,144,3
177,175,235,3
0,193,144,3
0,202,139,3
0,200,160,3
1,204,160,3
0,185,186,3
0,192,172,3
0,211,109,3
177,190,157,3
0,187,177,3
0,194,164,3
0,187,182,3
2,216,144,3
0,188,175,3
178,190,156,3
2,226,107,3
0,196,162,3
1,189,181,3
1,206,145,3
0,181,203,3
179,180,188,3
1,223,119,3
0,188,174,3
0,180,190,3
1,194,158,3
2,230,101,3
1,184,195,3
1,212,131,3
1,200,161,3
2,225,119,3
2,212,143,3
1,197,160,3
1,182,191,3
1,183,183,3
0,187,169,3
1,194,167,3
2,233,104,3
179,195,135,3
0,199,139,3
1,210,146,3
0,177,228,3
0,183,176,3
1,217,134,3
1,185,197,3
1,198,166,3
1,192,172,3
1,212,106,3
1,176,231,3
0,206,134,3
178,190,158,3
1,197,153,3
179,195,156,3
0,206,129,3
0,177,221,3
2,207,151,3
2,227,100,3
2,228,109,3
179,185,164,3
2,218,118,3
0,199,141,3
1,202,149,3
1,212,112,3
0,176,210,3
1,187,187,3
0,186,181,3
1,195,153,3
0,204,139,3
179,185,164,3
179,193,147,3
2,210,145,3
0,182,182,3
0,180,200,3
1,206,129,3
0,192,155,3
2,229,101,3
1,221,120,3
2,212,147,3
179,182,181,3
179,187,178,3
1,208,137,3
1,183,198,3
2,232,88,3
0,174,231,3
179,206,138,3
0,190,160,3
1,213,134,3
176,179,228,3
1,210,131,3
0,192,156,3
0,182,174,3
178,186,169,3
179,185,181,3
0,195,154,3
179,190,154,3
178,192,154,3
178,195,160,3
12,235,218,4
12,241,215,4
11,240,193,4
13,245,214,4
11,247,157,4
12,237,215,4
14,238,255,4
12,240,228,4
13,253,210,4
14,228,255,4
12,240,205,4
13,246,227,4
10,255,157,4
12,230,244,4
11,244,183,4
13,230,255,4
12,245,207,4
12,238,207,4
11,247,159,4
12,235,227,4
11,248,150,4
12,238,227,4
11,246,170,4
11,243,153,4
12,244,203,4
12,239,192,4
12,236,213,4
12,240,230,4
13,247,222,4
12,238,197,4
12,241,203,4
11,255,146,4
12,243,194,4
13,238,241,4
12,242,213,4
11,247,160,4
11,252,163,4
12,245,199,4
13,230,255,4
11,255,147,4
11,234,179,4
13,244,211,4
12,232,218,4
13,235,255,4
12,236,215,4
13,253,225,4
11,234,194,4
11,243,170,4
12,237,214,4
12,236,236,4
11,241,199,4
13,239,236,4
12,248,196,4
12,242,198,4
11,250,151,4
11,247,157,4
11,250,159,4
13,241,234,4
11,240,181,4
12,236,205,4
12,231,216,4
10,252,158,4
13,249,215,4
12,246,194,4
11,253,159,4
13,244,208,4
11,240,151,4
12,235,228,4
12,228,247,4
13,238,235,4
12,233,240,4
12,245,205,4
13,244,240,4
12,252,169,4
12,238,212,4
12,231,244,4
11,246,173,4
12,244,202,4
11,247,153,4
13,231,255,4
11,242,153,4
12,236,212,4
11,242,194,4
12,239,205,4
13,240,228,4
12,246,194,4
13,237,255,4
13,232,255,4
13,224,255,4
12,238,235,4
13,249,243,4
12,244,203,4
13,245,239,4
11,234,172,4
12,235,202,4
11,237,169,4
13,228,255,4
11,232,186,4
12,228,255,4
13,243,215,4
12,243,193,4
11,239,192,4
13,243,215,4
12,239,238,4
12,241,230,4
13,244,240,4
12,245,202,4
13,248,210,4
11,250,152,4
12,244,194,4
12,238,233,4
12,232,236,4
10,230,170,4
11,245,153,4
11,246,173,4
12,245,204,4
12,237,213,4
12,241,184,4
11,245,153,4
10,246,143,4
12,236,207,4
11,245,173,4
12,234,206,4
11,242,177,4
12,241,200,4
11,243,168,4
11,240,183,4
12,238,228,4
12,233,236,4
13,244,230,4
13,246,252,4
11,240,154,4
12,236,202,4
12,235,228,4
12,238,232,4
12,244,207,4
12,238,250,4
12,236,230,4
11,249,160,4
12,239,223,4
12,241,197,4
11,244,166,4
12,235,215,4
12,242,188,4
11,246,169,4
11,225,255,4
12,240,205,4
10,238,150,4
11,242,181,4
12,238,211,4
11,243,154,4
13,244,215,4
10,248,151,4
10,248,142,4
12,235,240,4
11,245,153,4
11,230,187,4
12,244,205,4
12,236,228,4
10,250,149,4
12,236,238,4
12,238,199,4
12,244,193,4
11,252,170,4
12,237,237,4
13,238,222,4
13,242,218,4
11,247,162,4
13,238,240,4
13,242,227,4
11,243,188,4
111,226,226,5
112,228,224,5
112,229,209,5
111,222,239,5
112,228,204,5
113,231,198,5
112,233,141,5
113,240,168,5
112,228,211,5
112,230,215,5
111,231,203,5
113,234,109,5
112,231,226,5
113,241,144,5
114,243,107,5
113,239,187,5
113,235,152,5
112,226,246,5
112,236,147,5
112,234,167,5
113,238,183,5
112,237,170,5
112,232,174,5
112,233,167,5
113,237,141,5
113,237,158,5
112,236,147,5
112,229,187,5
113,226,211,5
112,232,189,5
112,230,183,5
111,233,174,5
112,229,185,5
112,228,233,5
111,226,222,5
113,241,146,5
112,225,211,5
112,229,203,5
112,239,146,5
113,232,152,5
113,238,172,5
